Year,Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,home_team_goals,away_team_goals,total_goals_per_country,unique_countries,final_country_name,final_times_reached,knockouts_Country,knockouts_count_per_country,wining_Team,Win_Count
1930,13-Jul-30, 15:00 ,Group 1,Pocitos,Montevideo ,Uruguay,France,4,1,Mexico, ,68,36,225.0,Brazil,Argentina,6.0,Brazil,38.0,Tie,190.0
1930,13-Jul-30, 15:00 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,0,Belgium, ,19,27,133.0,Argentina,Brazil,6.0,Argentina,27.0,Brazil,71.0
1930,14-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,2,1,Brazil, ,42,45,131.0,Germany FR,Germany FR,6.0,Italy,27.0,Italy,45.0
1930,14-Jul-30, 14:50 ,Group 3,Pocitos,Montevideo ,Uruguay,Romania,3,1,Peru, ,15,6,128.0,Italy,Italy,6.0,Germany,24.0,Argentina,44.0
1930,15-Jul-30, 16:00 ,Group 1,Parque Central,Montevideo ,Uruguay,Argentina,1,0,France, ,111,40,108.0,France,Germany,3.0,Germany FR,22.0,Germany FR,36.0
1930,16-Jul-30, 14:45 ,Group 1,Parque Central,Montevideo ,Uruguay,Chile,3,0,Mexico, ,25,36,104.0,Germany,Netherlands,3.0,Netherlands,19.0,Germany,34.0
1930,17-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,4,0,Bolivia, ,42,0,92.0,Spain,Czechoslovakia,2.0,France,19.0,France,29.0
1930,17-Jul-30, 14:45 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,0,Paraguay, ,19,16,91.0,Netherlands,France,2.0,England,17.0,Spain,29.0
1930,18-Jul-30, 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Uruguay,1,0,Peru, ,62,6,87.0,Hungary,Hungary,2.0,Uruguay,14.0,Netherlands,29.0
1930,19-Jul-30, 12:50 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Chile,1,0,France, ,25,40,80.0,Uruguay,England,1.0,Spain,14.0,England,26.0
1930,19-Jul-30, 15:00 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Argentina,6,3,Mexico, ,111,36,79.0,England,Spain,1.0,Sweden,11.0,Uruguay,20.0
1930,20-Jul-30, 13:00 ,Group 2,Estadio Centenario,Montevideo ,Uruguay,Brazil,4,0,Bolivia, ,180,0,74.0,Sweden,Sweden,1.0,Mexico,10.0,Sweden,16.0
